date,close,volume,open,high,low
13/07/2020,95.477501,191649200,97.264999,99.955002,95.2575
14/07/2020,97.057503,170989200,94.839996,97.254997,93.877502
15/07/2020,97.724998,153198000,98.989998,99.247498,96.489998
16/07/2020,96.522499,110577600,96.5625,97.404999,95.904999
17/07/2020,96.327499,92186800,96.987503,97.147499,95.839996
20/07/2020,98.357498,90318000,96.417503,98.5,96.0625
21/07/2020,97,103433200,99.172501,99.25,96.7425
22/07/2020,97.272499,89001600,96.692497,97.974998,96.602501
23/07/2020,92.845001,197004400,96.997498,97.077499,92.010002
24/07/2020,92.614998,185438800,90.987503,92.970001,89.144997
27/07/2020,94.809998,121214000,93.709999,94.904999,93.480003
28/07/2020,93.252502,103625600,94.3675,94.550003,93.247498
29/07/2020,95.040001,90329200,93.75,95.230003,93.712502
30/07/2020,96.190002,158130000,94.1875,96.297501,93.767502
31/07/2020,106.260002,374336800,102.885002,106.415001,100.824997
03/08/2020,108.9375,308151200,108.199997,111.637497,107.892502
04/08/2020,109.665001,173071600,109.1325,110.790001,108.387497
05/08/2020,110.0625,121776800,109.377502,110.392502,108.897499
06/08/2020,113.902496,202428800,110.404999,114.412498,109.797501
07/08/2020,111.112503,198045600,113.205002,113.675003,110.292503
10/08/2020,112.727501,212403600,112.599998,113.775002,110
11/08/2020,109.375,187902400,111.970001,112.482498,109.107498
12/08/2020,113.010002,165598000,110.497498,113.275002,110.297501
13/08/2020,115.010002,210082000,114.43,116.042503,113.927498
14/08/2020,114.907501,165565200,114.830002,115,113.044998
17/08/2020,114.607498,119561600,116.0625,116.087502,113.962502
18/08/2020,115.5625,105633600,114.352501,116,114.0075
19/08/2020,115.707497,145538000,115.982498,117.162498,115.610001
20/08/2020,118.275002,126907200,115.75,118.392502,115.732498
21/08/2020,124.370003,338054800,119.262497,124.8675,119.25
24/08/2020,125.857498,345937600,128.697495,128.785004,123.9375
25/08/2020,124.824997,211495600,124.697502,125.18,123.052498
26/08/2020,126.522499,163022400,126.18,126.9925,125.082497
27/08/2020,125.010002,155552400,127.142502,127.485001,123.832497
28/08/2020,124.807503,187630000,126.012497,126.442497,124.577499
31/08/2020,129.039993,225702700,127.580002,131,126
01/09/2020,134.179993,151948100,132.759995,134.800003,130.529999
02/09/2020,131.399994,200119000,137.589996,137.979996,127
03/09/2020,120.879997,257599600,126.910004,128.839996,120.5
04/09/2020,120.959999,332607200,120.07,123.699997,110.889999
08/09/2020,112.82,231366600,113.949997,118.989998,112.68
09/09/2020,117.32,176940500,117.260002,119.139999,115.260002
10/09/2020,113.489998,182274400,120.360001,120.5,112.5
11/09/2020,112,180860300,114.57,115.230003,110
14/09/2020,115.360001,140150100,114.720001,115.93,112.800003
15/09/2020,115.540001,184642000,118.330002,118.830002,113.610001
16/09/2020,112.129997,154679000,115.230003,116,112.040001
17/09/2020,110.339996,178011000,109.720001,112.199997,108.709999
18/09/2020,106.839996,287104900,110.400002,110.879997,106.089996
21/09/2020,110.080002,195713800,104.540001,110.190002,103.099998
22/09/2020,111.809998,183055400,112.68,112.860001,109.160004
23/09/2020,107.120003,150718700,111.620003,112.110001,106.769997
24/09/2020,108.220001,167743300,105.169998,110.25,105
25/09/2020,112.279999,149981400,108.43,112.440002,107.669998
28/09/2020,114.959999,137672400,115.010002,115.32,112.779999
29/09/2020,114.089996,99382200,114.550003,115.309998,113.57
30/09/2020,115.809998,142675200,113.790001,117.260002,113.620003
01/10/2020,116.790001,116120400,117.639999,117.720001,115.830002
02/10/2020,113.019997,144712000,112.889999,115.370003,112.220001
05/10/2020,116.5,106243800,113.910004,116.650002,113.550003
06/10/2020,113.160004,161498200,115.699997,116.120003,112.25
07/10/2020,115.080002,96849000,114.620003,115.550003,114.129997
08/10/2020,114.970001,83477200,116.25,116.400002,114.589996
09/10/2020,116.970001,100506900,115.279999,117,114.919998
12/10/2020,124.400002,240226800,120.059998,125.18,119.279999
13/10/2020,121.099998,262330500,125.269997,125.389999,119.650002
